,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
385,qinzhou,61,CN,1573865065,89,21.96,108.62,293.64,2.71
386,rocha,0,UY,1573864808,91,-34.48,-54.34,285.48,1.4
387,barabinsk,8,RU,1573865066,89,55.35,78.35,253.04,4.12
388,duzce,92,TR,1573864984,69,40.84,31.16,286.1,0.87
389,nikolayevsk-na-amure,94,RU,1573865066,96,53.14,140.72,254.22,1.94
390,west plains,1,US,1573864953,44,36.73,-91.85,278.15,1.5
391,vostok,99,RU,1573865066,75,46.45,135.83,256.88,8.65
392,badvel,57,IN,1573865066,95,14.74,79.07,294.45,0.29
393,novyy buh,50,UA,1573865067,93,47.69,32.52,276.15,3.0
394,aqtobe,90,KZ,1573865067,79,50.28,57.21,269.15,1.0
395,ouadda,100,CF,1573865067,42,8.07,22.4,293.97,1.37
396,cayenne,20,GF,1573864824,88,4.94,-52.33,298.15,2.73
397,yanam,51,IN,1573865067,89,16.73,82.22,294.47,1.45
398,ossora,100,RU,1573865067,81,59.24,163.07,273.91,13.12
399,komsomolskiy,100,RU,1573864810,95,67.55,63.78,260.93,7.72
400,bukachacha,0,RU,1573865068,83,52.99,116.91,247.57,1.71
401,almeirim,71,BR,1573865068,59,-1.53,-52.58,301.72,0.85
402,codrington,90,AU,1573865068,13,-28.95,153.24,307.15,3.1
403,pevek,0,RU,1573864801,56,69.7,170.27,259.66,1.06
404,banda aceh,93,ID,1573865037,91,5.56,95.32,296.48,1.82
405,placido de castro,100,BR,1573865068,99,-10.34,-67.19,295.46,0.64
406,namie,75,JP,1573865069,66,37.52,140.86,286.48,0.5
407,praya,75,ID,1573865069,74,-8.71,116.27,302.15,1.0
408,kashmor,3,PK,1573865069,65,28.43,69.58,292.43,2.67
409,ambilobe,77,MG,1573864808,81,-13.19,49.05,298.42,3.57
410,ulladulla,75,AU,1573865069,63,-35.36,150.48,293.15,3.6
411,vao,100,EE,1573865069,93,59.1,26.19,275.91,3.31
412,macusani,100,PE,1573865069,97,-14.07,-70.43,274.38,1.71
413,hirna,16,ET,1573865070,55,9.22,41.1,286.87,0.78
414,vilani,100,LV,1573865070,92,56.55,26.92,275.26,2.85
415,rawa mazowiecka,90,PL,1573865070,100,51.76,20.25,282.59,2.6
416,auki,53,NG,1573864847,29,12.18,6.51,298.51,2.42
417,ust-nera,0,RU,1573865070,96,64.57,143.24,251.09,1.91
418,atherton,75,AU,1573865070,54,-17.27,145.48,304.82,5.1
419,tilichiki,11,RU,1573865070,74,60.47,166.1,261.54,4.54
420,jalu,33,LY,1573865071,43,29.03,21.55,288.03,3.42
421,surt,100,LY,1573864986,27,31.21,16.59,290.84,6.89
422,kushima,20,JP,1573864876,62,31.5,131.29,285.15,3.6
423,jackson,1,US,1573864837,49,43.48,-110.76,282.15,3.6
424,howard springs,20,AU,1573865071,55,-12.5,131.05,307.59,2.6
425,dodge city,1,US,1573865071,32,37.75,-100.02,286.15,6.7
426,narasapur,1,IN,1573865071,90,16.45,81.67,294.22,1.89
427,wangqing,0,CN,1573865072,42,43.31,129.76,263.94,5.74
428,lata,2,IN,1573865072,57,30.78,78.62,267.39,1.54
429,srivardhan,3,IN,1573865072,78,18.03,73.02,297.63,2.2
430,inhambane,19,MZ,1573865072,80,-23.87,35.38,295.11,6.39
431,half moon bay,90,US,1573865072,82,37.46,-122.43,294.15,8.7
432,bemidji,90,US,1573865072,58,47.48,-94.89,272.15,3.1
433,mareeba,75,AU,1573865073,54,-16.99,145.42,304.82,5.1
434,hualmay,87,PE,1573864799,86,-11.1,-77.61,289.84,1.61
435,griffith,31,AU,1573864812,36,-34.29,146.06,291.15,4.1
436,lorengau,24,PG,1573864825,70,-2.02,147.27,302.15,2.34
437,khatanga,90,RU,1573864798,97,71.98,102.47,247.83,2.29
438,tabalosos,40,PE,1573865073,100,-6.39,-76.63,290.15,1.2
439,xuddur,76,SO,1573865073,88,4.12,43.89,294.57,4.69
440,darhan,100,MN,1573864845,92,49.49,105.92,260.14,5.73
441,akdepe,0,TM,1573865074,79,42.05,59.39,271.15,4.1
442,praia,90,BR,1573865074,88,-20.25,-43.81,293.15,1.24
443,susice,100,CZ,1573865074,100,49.23,13.52,282.04,1.0
444,san carlos de bariloche,40,AR,1573865074,57,-41.13,-71.31,284.15,8.2
445,dunmore town,19,BS,1573865074,75,25.5,-76.65,299.45,3.25
446,sur,0,OM,1573864838,41,22.57,59.53,293.79,1.04
447,morro bay,1,US,1573865075,68,35.37,-120.85,293.15,5.14
448,kirkenaer,75,NO,1573865075,97,60.46,12.06,275.15,4.6
449,sistranda,43,NO,1573864876,60,63.73,8.83,277.04,6.7
450,flinders,75,AU,1573864873,63,-34.58,150.85,295.37,3.6
451,mbanza-ngungu,100,CD,1573865075,99,-5.25,14.87,294.06,1.88
452,andapa,98,MG,1573865075,99,-14.66,49.65,292.48,0.5
453,longyearbyen,75,NO,1573864819,64,78.22,15.63,274.15,9.3
454,shibetsu,75,JP,1573865076,58,44.15,142.46,271.15,5.1
455,zhicheng,27,CN,1573865076,39,35.04,112.59,281.42,2.42
456,vaasa,90,FI,1573865076,93,63.1,21.62,275.37,2.6
457,tessalit,16,ML,1573864873,16,20.2,1.01,289.84,1.03
458,viterbo,20,IT,1573865076,67,42.42,12.1,289.15,3.1
459,eidfjord,100,NO,1573865076,84,60.47,7.07,268.15,2.82
460,lumeje,99,AO,1573865076,88,-11.56,20.78,292.03,2.06
461,cockburn town,11,TC,1573865077,76,21.46,-71.14,300.76,4.93
462,lebyazhye,75,RU,1573865077,80,59.96,29.42,277.15,4.0
463,amahai,97,ID,1573864879,77,-3.31,129.0,299.84,1.82
464,egvekinot,42,RU,1573865077,94,66.32,-179.17,260.97,5.14
465,isangel,70,VU,1573864822,78,-19.55,169.27,296.87,8.39
466,bartica,20,GY,1573865077,94,6.41,-58.62,299.15,2.1
467,watrous,100,CA,1573865077,92,51.67,-105.46,273.35,6.27
468,solvychegodsk,100,RU,1573865078,97,61.33,46.92,271.75,1.96
469,ziro,13,IN,1573865078,89,27.54,93.82,286.43,1.09
470,chaibasa,0,IN,1573865078,74,22.55,85.81,290.04,0.76
471,miraflores,13,PE,1573865034,54,-16.39,-71.52,285.15,1.0
472,ostrovnoy,63,RU,1573864812,89,68.05,39.51,269.1,9.17
473,petropavlovsk-kamchatskiy,0,RU,1573864826,92,53.05,158.65,268.15,1.0
474,teahupoo,20,PF,1573865078,70,-17.83,-149.27,302.15,5.1
475,montrose,90,GB,1573865078,93,56.71,-2.47,278.15,2.6
476,casma,71,PE,1573865079,92,-9.47,-78.3,290.67,4.43
477,mayumba,100,GA,1573865079,81,-3.44,10.65,300.13,3.15
478,visnes,100,NO,1573865079,80,59.36,5.22,278.71,4.1
479,mogadishu,36,SO,1573864865,82,2.04,45.34,300.72,9.29
480,port augusta,75,AU,1573865079,55,-32.49,137.76,293.71,5.7
481,gotsu,20,JP,1573865079,76,35.01,132.22,284.15,4.6
482,chumphon,20,TH,1573865079,100,10.5,99.18,296.15,1.0
483,port-gentil,100,GA,1573864820,85,-0.72,8.78,299.22,4.35
484,fort frances,90,CA,1573865080,62,48.61,-93.4,267.15,3.1
485,qaqortoq,40,GL,1573865080,58,60.72,-46.03,269.15,4.6
486,ixtapa,75,MX,1573864815,74,20.71,-105.21,301.15,2.1
487,hay river,90,CA,1573865066,85,60.82,-115.79,261.15,4.6
488,san carlos,93,NI,1573865080,15,11.12,-84.78,295.93,5.81
489,mantua,75,IT,1573865080,100,45.16,10.79,283.71,1.5
490,kushiro,20,JP,1573865080,37,43.11,144.15,275.15,6.7
491,lamu,2,CN,1573865080,41,35.77,102.37,273.34,1.82
492,avesta,100,SE,1573865081,100,60.15,16.18,275.15,2.6
493,walvis bay,48,NA,1573865081,82,-22.95,14.51,289.15,4.1
494,sar-e pul,94,AF,1573865081,55,36.22,65.93,275.18,0.75
495,coueron,90,FR,1573865081,100,47.22,-1.72,280.37,2.1
496,annau,90,TM,1573865081,93,37.89,58.52,279.15,1.35
497,havoysund,75,NO,1573865081,74,71.0,24.66,274.15,1.5
498,saint-georges,100,CA,1573864619,6,46.12,-70.67,268.15,5.36
499,turtas,100,RU,1573865082,90,58.94,69.13,264.56,5.9
500,basco,1,US,1573865082,69,40.33,-91.2,277.15,0.28
501,chake chake,2,TZ,1573865082,83,-5.25,39.77,300.65,7.77
502,santo antonio do leverger,75,BR,1573864880,83,-15.87,-56.08,299.15,1.5
503,sioux lookout,40,CA,1573864936,51,50.1,-91.92,264.15,2.1
504,gazanjyk,70,TM,1573865082,75,39.24,55.52,275.48,7.43
505,ciudad bolivar,65,VE,1573864846,64,8.12,-63.55,301.02,2.71
506,sao luis de montes belos,78,BR,1573865083,81,-16.52,-50.37,296.32,0.98
507,shache,99,CN,1573865083,78,38.42,77.24,276.48,5.58
508,opuwo,62,NA,1573865083,24,-18.06,13.84,294.44,2.8
509,zlynka,90,RU,1573865083,93,52.43,31.74,276.15,3.0
510,nizwa,0,OM,1573864855,55,22.93,57.53,287.83,1.49
511,kudahuvadhoo,92,MV,1573865083,82,2.67,72.89,300.04,4.97
512,sao geraldo do araguaia,21,BR,1573865084,74,-6.4,-48.55,298.66,1.17
513,itaituba,100,BR,1573864816,86,-4.26,-55.99,297.66,0.7
514,kangaatsiaq,100,GL,1573865084,78,68.31,-53.46,272.5,11.77
515,tuatapere,100,NZ,1573864789,90,-46.13,167.69,284.26,3.13
516,sobolevo,100,RU,1573865084,83,54.43,31.9,275.76,4.39
517,colares,20,PT,1573865085,76,38.8,-9.45,283.15,3.1
518,nemuro,40,JP,1573865085,47,43.32,145.57,275.15,7.7
519,leua,86,AO,1573865085,90,-11.65,20.45,291.22,2.02
520,marystown,95,CA,1573865085,2,47.17,-55.16,280.93,4.47
521,laukaa,90,FI,1573865085,92,62.42,25.95,272.59,1.0
522,oranjemund,71,ZA,1573864864,90,-28.55,16.43,289.89,4.78
523,suileng,0,CN,1573865085,30,47.25,127.08,261.63,7.09
524,kungur,85,RU,1573865086,88,57.43,56.94,270.56,4.25
525,frisco,1,US,1573864961,48,33.15,-96.82,285.37,1.07
526,leningradskiy,0,RU,1573864865,86,69.38,178.42,265.39,4.97
527,grand gaube,75,MU,1573865086,69,-20.01,57.66,297.15,5.7
528,domat,90,CH,1573865086,92,46.83,9.45,277.59,0.5
529,vilhena,100,BR,1573865086,97,-12.74,-60.15,294.78,1.35
530,belmonte,4,PT,1573864875,76,40.36,-7.35,279.26,2.25
531,cedar city,1,US,1573865087,24,37.68,-113.06,287.15,4.1
532,atar,84,MR,1573864859,20,20.52,-13.05,297.19,3.4
533,udimskiy,100,RU,1573865087,98,61.14,45.92,273.52,2.0
534,oriximina,99,BR,1573865087,75,-1.77,-55.87,300.81,2.29
535,reconquista,0,AR,1573865087,55,-29.14,-59.64,293.77,2.95
536,gat,89,SN,1573864790,69,14.69,-16.54,298.15,1.0
537,bubaque,100,GW,1573864822,73,11.28,-15.83,301.64,5.02
538,katobu,0,ID,1573865088,54,-4.94,122.53,303.37,2.39
539,sungaipenuh,89,ID,1573865088,89,-2.08,101.38,291.65,0.78
540,pleasanton,1,US,1573865088,52,37.66,-121.87,296.15,3.1
541,cantaura,38,VE,1573865088,95,9.31,-64.36,295.81,1.53
542,kalulushi,100,ZM,1573865088,93,-12.84,28.09,292.63,0.7
543,virginia beach,90,US,1573864802,93,36.85,-75.98,282.59,5.1
544,zarubino,0,RU,1573865088,51,42.65,131.06,274.12,12.54
545,moissala,94,TD,1573865089,33,8.34,17.77,298.17,0.99
546,ajra,0,IN,1573865089,90,16.12,74.21,293.82,2.75
547,pacasmayo,63,PE,1573865089,81,-7.4,-79.57,292.15,5.83
548,san pedro de macoris,40,DO,1573865089,88,18.46,-69.3,298.71,2.1
549,rubio,40,VE,1573865089,78,7.7,-72.36,300.15,1.0
550,upington,0,ZA,1573865089,21,-28.46,21.24,294.15,1.5
