,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,quelimane,75,MZ,1573864800,88,-17.88,36.89,300.15,1.5
88,georgetown,40,GY,1573864767,79,6.8,-58.16,302.15,3.1
89,evensk,58,RU,1573865024,71,61.92,159.24,264.42,5.28
90,trento,90,IT,1573865024,98,46.07,11.13,282.04,8.2
91,coihaique,75,CL,1573864861,50,-45.58,-72.07,284.15,2.1
92,thompson,90,CA,1573864810,77,55.74,-97.86,258.15,3.6
93,sainte-martine,20,CA,1573865025,58,45.25,-73.8,272.04,11.3
94,bambous virieux,75,MU,1573865025,69,-20.34,57.76,297.15,5.7
95,sao joao da barra,100,BR,1573865025,91,-21.64,-41.05,295.18,8.27
96,chuy,2,UY,1573864791,89,-33.69,-53.46,288.13,1.99
97,bathsheba,20,BB,1573864843,83,13.22,-59.52,299.15,3.1
98,mamakan,100,RU,1573865025,97,57.82,114.02,244.97,0.14
99,saumur,90,FR,1573865026,93,47.26,-0.08,279.26,3.6
100,nouadhibou,24,MR,1573864874,72,20.93,-17.03,293.15,9.3
101,matucana,100,PE,1573865026,86,-11.84,-76.39,284.39,1.21
102,nabire,15,ID,1573865026,63,-3.36,135.5,303.17,0.49
103,agbor,99,NG,1573865026,98,6.26,6.15,296.6,0.86
104,barrow,64,AR,1573864782,44,-38.31,-60.23,294.88,1.18
105,cabo san lucas,5,MX,1573865026,50,22.89,-109.91,299.26,5.1
106,ouallam,2,NE,1573865026,13,14.32,2.08,301.11,2.71
107,beringovskiy,100,RU,1573864846,77,63.05,179.32,271.64,9.97
108,lunenburg,100,CA,1573865027,90,44.38,-64.32,280.37,0.45
109,phan thiet,54,VN,1573865027,87,10.93,108.1,296.16,1.0
110,parsabad,75,AZ,1573865027,87,39.65,47.92,279.15,2.1
111,fort nelson,75,CA,1573865027,78,58.81,-122.69,260.15,2.6
112,gravdal,100,NO,1573865027,80,59.79,5.78,278.15,4.1
113,carnarvon,0,ZA,1573864797,37,-30.97,22.13,290.54,4.29
114,san ramon,39,NI,1573865028,95,12.92,-85.84,293.2,1.72
115,morwell,87,AU,1573865028,59,-38.24,146.4,288.15,2.68
116,alice springs,0,AU,1573865028,7,-23.7,133.88,302.15,2.6
117,mahad,5,IN,1573865028,84,18.08,73.42,294.72,1.66
118,kahului,40,US,1573864857,58,20.89,-156.47,304.15,5.1
119,puerto ayora,75,EC,1573864794,69,-0.74,-90.35,297.15,4.1
120,salalah,0,OM,1573864811,65,17.01,54.1,298.15,1.0
121,paamiut,83,GL,1573864871,67,61.99,-49.67,272.21,3.67
122,hovd,59,NO,1573865029,85,63.83,10.7,277.04,4.1
123,alekseyevka,15,RU,1573865029,86,53.25,50.49,272.15,3.0
124,lompoc,1,US,1573864537,68,34.64,-120.46,293.15,5.7
125,husavik,69,CA,1573864794,66,50.56,-96.99,268.71,2.68
126,lubao,100,CD,1573865029,88,-5.39,25.75,295.02,1.3
127,yaan,84,NG,1573865029,86,7.38,8.57,298.34,1.95
128,faya,20,SA,1573864820,76,18.39,42.45,288.15,1.5
129,vanavara,0,RU,1573865029,93,60.35,102.28,240.34,1.24
130,parabel,0,RU,1573865030,87,58.71,81.5,251.77,2.97
131,maumere,6,ID,1573865030,50,-8.63,122.22,302.38,1.79
132,wencheng,0,CN,1573865030,75,27.79,120.09,285.39,1.05
133,new norfolk,40,AU,1573865030,58,-42.78,147.06,286.48,9.8
134,fallon,75,US,1573864813,62,46.84,-105.12,278.15,3.1
135,la ronge,90,CA,1573865030,73,55.1,-105.3,269.15,4.6
136,vila franca do campo,75,PT,1573864810,59,37.72,-25.43,289.15,3.1
137,udachnyy,90,RU,1573865031,83,66.42,112.4,248.15,2.0
138,pangody,100,RU,1573865031,91,65.85,74.49,255.02,9.83
139,maningrida,90,AU,1573865031,42,-12.05,134.23,307.88,0.43
140,riyadh,83,SA,1573864815,63,24.63,46.72,290.15,1.0
141,balabac,87,PH,1573864852,71,7.99,117.06,301.28,1.11
142,funadhoo,100,MV,1573865032,71,6.15,73.27,301.41,2.21
143,popova,39,RS,1573865032,71,43.33,21.27,285.15,2.6
144,kodiak,1,US,1573864801,52,39.95,-94.76,281.15,3.6
145,kaihua,0,CN,1573865032,60,29.14,118.41,286.34,0.72
146,warwick,40,US,1573865033,52,41.7,-71.42,282.04,3.1
147,portland,75,US,1573864835,48,43.66,-70.25,279.26,3.1
148,san cristobal,52,HN,1573865033,90,14.68,-86.92,293.28,2.15
149,elesbao veloso,10,BR,1573865033,38,-6.2,-42.14,302.05,1.23
150,north bend,90,US,1573865033,93,43.41,-124.22,287.04,1.43
151,torbay,50,CA,1573864796,80,47.66,-52.73,276.48,1.34
152,kawalu,49,ID,1573864870,72,-7.38,108.21,295.83,1.65
153,belaya gora,97,RU,1573865034,98,68.54,146.19,253.03,2.07
154,arlit,0,NE,1573865034,12,18.74,7.39,298.3,2.98
155,bethel,40,US,1573864694,66,60.79,-161.76,264.15,9.8
156,kapaa,75,US,1573864805,74,22.08,-159.32,301.15,2.6
157,ponta do sol,100,BR,1573865034,92,-20.63,-46.0,291.68,0.97
158,kropotkin,0,RU,1573865034,64,45.43,40.58,280.23,8.43
159,padang,97,ID,1573865034,92,-0.92,100.36,294.03,1.0
160,araouane,52,ML,1573865034,20,18.9,-3.53,293.61,0.4
161,motygino,100,RU,1573865035,97,58.18,94.69,249.12,2.56
162,avera,90,US,1573864844,100,33.19,-82.53,282.15,5.1
163,shieli,0,KZ,1573865035,68,44.18,66.74,273.81,5.54
164,cascais,20,PT,1573865035,76,38.7,-9.42,283.15,3.1
165,camacha,75,PT,1573865035,82,33.08,-16.33,290.15,8.7
166,vila,90,IT,1573864823,100,45.18,8.4,279.82,2.6
167,te anau,95,NZ,1573865035,83,-45.41,167.72,282.67,3.13
168,inongo,100,CD,1573865036,92,-1.93,18.29,295.83,0.98
169,awbari,20,LY,1573865036,19,26.59,12.77,290.06,4.07
170,seoul,90,KR,1573864945,93,37.57,126.98,281.15,1.5
171,saint-prosper,100,CA,1573865036,6,46.21,-70.48,266.48,5.36
172,axim,22,GH,1573864854,91,4.87,-2.24,297.66,0.54
173,gizo,20,IL,1573864818,88,31.8,34.94,292.04,2.1
174,gondanglegi,58,ID,1573865036,74,-7.75,112.01,299.16,3.75
175,lavrentiya,27,RU,1573864868,77,65.58,-170.99,270.02,10.47
176,maxixe,33,MZ,1573865037,78,-23.86,35.35,295.37,7.09
177,sitka,0,US,1573864824,39,37.17,-99.65,284.82,2.24
178,makakilo city,75,US,1573864880,69,21.35,-158.09,302.59,3.6
179,juelsminde,100,DK,1573865037,100,55.71,10.02,281.15,3.6
180,wiang sa,20,TH,1573865037,100,8.64,99.37,298.71,1.5
181,megion,100,RU,1573865037,83,61.04,76.11,252.15,4.0
182,khipro,0,PK,1573865037,80,25.83,69.38,293.58,6.56
183,cidreira,0,BR,1573864802,79,-30.17,-50.22,293.55,6.58
184,sao felix do xingu,74,BR,1573865037,73,-6.64,-51.99,298.29,0.59
185,acapulco,75,MX,1573865038,74,16.86,-99.88,302.15,3.6
186,sao jose da coroa grande,32,BR,1573865038,77,-8.9,-35.15,299.35,6.84
187,saint-philippe,1,CA,1573864821,63,45.36,-73.48,272.04,8.7
188,kalispell,90,US,1573865039,93,48.2,-114.32,275.93,1.81
189,port elizabeth,1,US,1573864785,48,39.31,-74.98,281.15,2.1
190,san quintin,100,PH,1573865039,78,17.54,120.52,298.15,2.04
191,brae,25,GB,1573864798,86,60.4,-1.35,279.15,1.0
192,kuching,75,MY,1573865039,94,1.56,110.34,299.15,1.19
193,katsuura,20,JP,1573864794,61,33.93,134.5,289.82,4.6
194,abu samrah,91,SY,1573865039,46,35.3,37.18,289.54,1.36
195,staryy nadym,100,RU,1573865039,94,65.61,72.68,257.9,10.05
196,gossas,85,SN,1573865040,69,14.49,-16.06,299.15,1.0
197,terrace,75,CA,1573865040,93,54.52,-128.61,280.15,1.5
198,saint paul,1,US,1573864917,46,44.95,-93.1,275.15,1.5
199,natal,40,BR,1573865029,74,-5.81,-35.21,299.15,5.7
200,ako,20,JP,1573865040,57,34.79,134.38,289.82,4.1
201,porlamar,47,VE,1573865040,86,10.96,-63.85,297.24,1.77
202,kununurra,55,AU,1573865041,62,-15.77,128.74,304.15,1.5
203,canmore,90,CA,1573865041,48,51.09,-115.35,280.93,8.7
204,narsaq,40,GL,1573864809,58,60.91,-46.05,269.15,4.6
205,usinsk,99,RU,1573864779,93,66.0,57.56,272.63,10.65
206,tutoia,30,BR,1573865041,91,-2.76,-42.27,296.47,2.19
207,tiksi,2,RU,1573864793,97,71.64,128.87,250.15,1.12
208,kavieng,29,PG,1573864804,70,-2.57,150.8,302.25,3.08
209,touros,40,BR,1573865041,74,-5.2,-35.46,299.15,5.7
210,aklavik,75,CA,1573864790,83,68.22,-135.01,252.15,1.5
